name,perimeter,area,complexity,income,income_state,lean,margin_rep,margin_pres,districts,nw,nb,nn,na,nh,no,n2,n2o,n3,hw,hb,hn,ha,hh,ho,h2,h2o,h3,nw_1,nb_1,nn_1,na_1,nh_1,no_1,n2_1,n2o_1,n3_1,hw_1,hb_1,hn_1,ha_1,hh_1,ho_1,h2_1,h2o_1,h3_1
Minnesota District 7,2283,91639,7.5416389,52930,63217,12,-5.0999999,30.6000004,8,592971,7051,17649,5485,370,271,10572,82,10490,18141,281,1012,62,17,7849,1607,763,844,4432384,305403,51971,245360,1639,6977,131108,3058,128050,165141,5450,4933,1459,330,81319,17394,8358,9036
Minnesota District 2,505,6558,6.2359939,77468,63217,2,1.8,1.2,8,566806,28164,2577,30993,85,1133,17724,345,17379,20780,583,368,26,151,14879,2698,1351,1347,4432384,305403,51971,245360,1639,6977,131108,3058,128050,165141,5450,4933,1459,330,81319,17394,8358,9036
Minnesota District 6,661,7869,7.4514651,73884,63217,12,31.2999992,25.3999996,8,620290,17597,2719,15501,102,356,13290,299,12991,10002,156,391,74,9,5258,1676,750,926,4432384,305403,51971,245360,1639,6977,131108,3058,128050,165141,5450,4933,1459,330,81319,17394,8358,9036
Minnesota District 8,1751,84730,6.0154419,51684,63217,4,-0.6,15.5,8,610314,6700,16692,4672,181,196,13464,146,13318,7135,181,486,17,1,1551,1182,540,642,4432384,305403,51971,245360,1639,6977,131108,3058,128050,165141,5450,4933,1459,330,81319,17394,8358,9036
Illinois District 1,261,671,10.0757933,49456,59196,-27,-48.2000008,-53.2000008,18,252262,362542,982,12765,80,1199,10850,822,10028,37170,1816,653,84,33,26051,3601,2339,1262,7996856,1810559,14378,650929,2994,18545,220949,11527,209422,1274051,27053,15021,4870,1192,735014,79273,48891,30382
Illinois District 18,1234,27619,7.425252,60947,59196,15,44.2000008,27.7000008,18,635416,25983,1014,18592,173,1203,12785,730,12055,13071,569,261,40,70,3417,1242,662,580,7996856,1810559,14378,650929,2994,18545,220949,11527,209422,1274051,27053,15021,4870,1192,735014,79273,48891,30382
Illinois District 7,165,167,12.7680836,51546,59196,-38,-68.4000015,-77.4000015,18,199933,357455,715,51151,89,1294,11747,771,10976,51285,3404,412,338,182,46739,4152,2506,1646,7996856,1810559,14378,650929,2994,18545,220949,11527,209422,1274051,27053,15021,4870,1192,735014,79273,48891,30382
Illinois District 2,316,2824,5.9464083,45727,59196,-29,-59.5999985,-58.5999985,18,201759,393402,626,4968,49,1015,9436,400,9036,62424,3375,608,87,24,23129,3237,2050,1187,7996856,1810559,14378,650929,2994,18545,220949,11527,209422,1274051,27053,15021,4870,1192,735014,79273,48891,30382
Nebraska District 1,947,23246,6.211205,55048,54384,11,39,20.7000008,3,523571,17481,6474,15359,500,362,13085,71,13014,40433,797,1124,56,5,8364,3074,1797,1277,1511352,85911,12981,39508,1173,2123,36409,717,35692,144356,2477,2758,286,132,34549,7244,3754,3490
California District 36,728,15515,5.8446093,45708,63783,-2,-24.2000008,-8.8000002,53,305161,29501,4427,22595,1149,992,13489,741,12748,195183,2031,4082,946,132,143694,12662,7178,5484,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 16,598,7473,6.917572,38381,63783,-9,-16,-21.2999992,53,165134,40552,3224,65763,1145,1114,12699,745,11954,245872,2419,4502,1405,172,160772,16336,9959,6377,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 46,93,188,6.782722,56465,63783,-15,-100,-38,53,132172,10622,1168,89168,2123,928,7978,405,7573,300209,1189,2657,1265,290,167746,8792,4532,4260,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 37,74,143,6.1881909,51531,63783,-37,-100,-76.0999985,53,181277,165886,836,73105,957,4545,19894,1611,18283,120900,3847,4955,578,103,136570,8685,5336,3349,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 33,285,1237,8.1032648,99902,63783,-16,-32.7999992,-41.2999992,53,469320,19846,1205,99035,1297,2643,30122,1479,28643,59540,682,1007,867,95,19999,7967,4147,3820,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 15,256,1623,6.3544903,97232,63783,-20,-47.5999985,-44.9000015,53,258550,44007,1942,234277,7995,1430,31177,1891,29286,103074,1905,2123,1597,325,48925,14112,6906,7206,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
Indiana District 2,527,10385,5.171391,48073,50433,11,22.3999996,23,9,581292,48547,2088,8590,362,963,14041,372,13669,44552,1003,527,136,93,15738,3529,2458,1071,5284680,599629,12763,129420,2013,9572,121979,3295,118684,250079,8597,3036,812,733,141928,24337,15713,8624
Indiana District 9,643,11767,5.9275889,51881,50433,13,13.6000004,26.7999992,9,663534,20067,1636,16356,85,533,12873,345,12528,14424,369,401,84,19,6741,1476,953,523,5284680,599629,12763,129420,2013,9572,121979,3295,118684,250079,8597,3036,812,733,141928,24337,15713,8624
Indiana District 6,660,16182,5.188333,48554,50433,18,42.4000015,40.2000008,9,660099,17799,1318,9266,235,1007,10918,341,10577,9796,262,227,12,55,7289,795,518,277,5284680,599629,12763,129420,2013,9572,121979,3295,118684,250079,8597,3036,812,733,141928,24337,15713,8624
Indiana District 8,1068,19071,7.7336502,47444,50433,15,32,33.5999985,9,654494,28709,1200,6765,418,454,13243,233,13010,10407,278,54,16,38,4842,1033,740,293,5284680,599629,12763,129420,2013,9572,121979,3295,118684,250079,8597,3036,812,733,141928,24337,15713,8624
California District 53,170,358,8.9847794,65332,63783,-14,-34,-34.9000015,53,305669,58664,1598,98457,5351,1545,29356,1191,28165,185713,3230,2519,2525,324,41898,16175,6207,9968,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 47,361,1736,8.6642771,60841,63783,-13,-27.3999996,-31.5,53,227015,50986,2367,154766,5038,1149,22199,997,21202,167207,2130,4620,1839,256,64609,12777,5356,7421,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 31,286,572,11.9582605,55451,63783,-8,-12.1999998,-21.1000004,53,199320,73816,1679,55133,1933,1680,17085,1318,15767,251598,4130,3503,2028,218,103052,18406,8083,10323,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 3,1158,16473,9.0224028,57926,63783,-5,-18.7999992,-12.5,53,352057,41638,4611,79076,3503,1412,30445,1105,29340,123580,1661,2594,1367,208,67511,13233,6317,6916,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 21,1068,17466,8.0811749,38462,63783,-5,13.3999996,-15.3999996,53,123880,27475,3095,21355,820,924,8940,650,8290,377147,2011,4944,814,655,128565,10839,6793,4046,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 48,178,660,6.9286404,83894,63783,4,16.6000004,-1.7,53,406202,8096,1631,129193,2272,1894,20605,640,19965,83559,400,1137,670,149,58915,9260,5377,3883,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 10,429,4769,6.2121744,56256,63783,0,3.4000001,-3,53,320336,21515,2824,46456,4358,1394,22873,847,22026,209512,1689,1706,1427,406,78515,16011,7857,8154,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
Arkansas District 1,2230,51270,9.8485708,38289,42336,17,76.3000031,34.7999992,4,553496,129929,2318,3553,325,384,11776,259,11517,14149,415,562,14,0,7001,1068,704,364,2177900,457822,16300,41179,6714,3258,58250,1391,56859,129236,2816,2397,360,24,64387,7829,5128,2701
Arkansas District 3,1134,14358,9.4638119,46332,42336,19,77.3000031,31.3999996,4,588712,21692,7653,21526,5960,1070,20074,623,19451,67984,760,894,210,2,32673,3466,1970,1496,2177900,457822,16300,41179,6714,3258,58250,1391,56859,129236,2816,2397,360,24,64387,7829,5128,2701
Arkansas District 4,1619,58905,6.6706901,37758,42336,17,74.9000015,32.9000015,4,515103,139863,4329,4475,105,935,11002,143,10859,20371,642,660,20,0,17443,1037,687,350,2177900,457822,16300,41179,6714,3258,58250,1391,56859,129236,2816,2397,360,24,64387,7829,5128,2701
Arkansas District 2,823,13198,7.1638384,48103,42336,7,21.5,10.6999998,4,520589,166338,2000,11625,324,869,15398,366,15032,26732,999,281,116,22,7270,2258,1767,491,2177900,457822,16300,41179,6714,3258,58250,1391,56859,129236,2816,2397,360,24,64387,7829,5128,2701
Indiana District 1,280,3622,4.6524725,53183,50433,-8,-81.5,-12.5,9,451703,135438,1425,9285,258,856,10852,378,10474,49498,2572,563,187,100,46884,7421,4881,2540,5284680,599629,12763,129420,2013,9572,121979,3295,118684,250079,8597,3036,812,733,141928,24337,15713,8624
California District 34,76,124,6.8250012,37136,63783,-35,-100,-72.9000015,53,75343,29608,982,138998,1213,1724,8984,815,8169,210229,2053,5746,1945,113,233163,10283,5921,4362,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 52,323,988,10.2759991,86174,63783,-6,-13,-22.5,53,435862,21229,1901,144718,2234,1569,28969,1130,27839,79260,1384,1834,1709,165,13408,7912,2374,5538,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 30,152,357,8.044693,72243,63783,-18,-45.2000008,-43.4000015,53,379469,34149,1304,92436,1064,2514,23656,1389,22267,119606,1521,1308,1058,128,81321,10838,6890,3948,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 18,341,2133,7.3834434,112702,63783,-23,-42.2000008,-53.2000008,53,404165,13273,1004,156821,2462,2485,28481,1055,27426,75112,713,1141,909,191,36998,7027,3372,3655,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 20,661,14199,5.547184,62732,63783,-23,-41.5999985,-46.7999992,53,273999,13185,1753,36908,2302,997,18370,594,17776,260669,1056,3544,1234,136,103187,12185,6490,5695,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 42,524,2469,10.5455866,73341,63783,9,17.6000004,12,53,333321,38429,2559,67917,2573,1294,26021,1372,24649,175416,2340,2531,1480,243,92220,14997,8543,6454,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 25,500,4410,7.5292325,73819,63783,0,6.1999998,-6.6999998,53,310011,53960,1605,57643,965,1427,22379,971,21408,156022,2057,2537,943,212,93696,16513,8194,8319,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
Louisiana District 4,1619,33317,8.8698015,41240,45652,13,41.5999985,24,6,446230,257012,5465,7097,548,1459,13114,484,12630,17919,1510,661,61,82,5777,2908,1802,1106,2754643,1483906,24050,78263,1264,7563,72573,2165,70408,154647,10295,2353,456,200,42871,12586,6468,6118
Louisiana District 2,919,3808,14.8924809,37096,45652,-25,-100,-52.7000008,6,219007,480592,1395,20152,263,1459,10180,574,9606,26877,4553,398,121,32,12868,2021,802,1219,2754643,1483906,24050,78263,1264,7563,72573,2165,70408,154647,10295,2353,456,200,42871,12586,6468,6118
Louisiana District 6,1409,11460,13.1619034,58628,45652,19,48.9000015,34,6,531016,186930,2735,16717,145,1075,12729,107,12622,24007,1215,233,15,0,6864,1461,638,823,2754643,1483906,24050,78263,1264,7563,72573,2165,70408,154647,10295,2353,456,200,42871,12586,6468,6118
Iowa District 1,1161,31435,6.5482535,55366,54570,-1,7.5999999,3.5,4,686187,26833,2328,11388,884,514,12856,353,12503,17852,522,512,95,14,7925,1986,1044,942,2701600,100660,8310,66187,2276,2756,52093,852,51241,122290,2392,1641,383,146,36654,9201,4556,4645
California District 32,181,327,10.0093231,61288,63783,-17,-100,-38.9000015,53,116617,18922,1710,124013,1168,1044,10127,1146,8981,225674,1702,3119,1890,171,197815,15138,10013,5125,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 43,89,187,6.5083246,50355,63783,-29,-52.2000008,-61.7000008,53,105355,161514,939,89347,3373,2723,19872,1104,18768,150178,3476,2751,1594,139,161072,17197,6755,10442,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 35,157,438,7.50175,55900,63783,-19,-44.7999992,-40.7999992,53,105833,47129,1522,47294,2524,1778,12928,730,12198,262118,2880,5034,1090,148,221978,18004,10741,7263,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 13,110,378,5.6577897,64948,63783,-40,-81.5999985,-79.3000031,53,255128,127867,2551,150915,4215,2681,35942,1443,34499,72239,3272,2935,1229,226,67166,14317,6439,7878,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 26,462,3239,8.1177654,76719,63783,-7,-20.7999992,-21.3999996,53,318091,12044,1906,48065,939,738,16591,490,16101,253658,1273,3432,1165,386,48274,13774,6480,7294,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 44,122,272,7.3973365,47683,63783,-35,-100,-70.6999969,53,47836,111602,1438,40339,4067,1301,9615,515,9100,277768,2937,5573,1035,420,200077,17101,8340,8761,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 19,371,2387,7.5935998,85010,63783,-24,-47.7999992,-51.4000015,53,192102,21183,1386,202536,3200,1153,21859,1522,20337,148241,1719,3271,2365,283,132326,17330,10074,7256,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
Iowa District 4,1317,59203,5.4126997,51111,54570,11,22.6000004,27.1000004,4,670974,11158,3009,14269,525,214,10312,89,10223,34770,563,415,152,74,11206,2221,1252,969,2701600,100660,8310,66187,2276,2756,52093,852,51241,122290,2392,1641,383,146,36654,9201,4556,4645
Iowa District 2,1084,32190,6.0418339,52126,54570,-1,-7.5,4.0999999,4,669284,30859,1390,17290,351,1280,13489,195,13294,29951,405,153,47,25,8595,2580,1031,1549,2701600,100660,8310,66187,2276,2756,52093,852,51241,122290,2392,1641,383,146,36654,9201,4556,4645
Minnesota District 1,1107,31554,6.2318993,57780,63217,5,-0.7,14.6999998,8,579918,18802,1614,17131,162,664,9589,257,9332,30275,213,396,173,6,8418,1137,616,521,4432384,305403,51971,245360,1639,6977,131108,3058,128050,165141,5450,4933,1459,330,81319,17394,8358,9036
Minnesota District 3,262,1510,6.7423735,81804,63217,-1,13.6999998,-9.3000002,8,547599,48263,1635,48977,357,1474,16620,393,16227,19217,547,437,621,49,7833,1754,966,788,4432384,305403,51971,245360,1639,6977,131108,3058,128050,165141,5450,4933,1459,330,81319,17394,8358,9036
Minnesota District 4,145,946,4.7143564,63826,63217,-14,-23.3999996,-30.7000008,8,473433,65806,3085,81378,226,963,23231,694,22537,27511,1466,888,307,59,10761,4187,1698,2489,4432384,305403,51971,245360,1639,6977,131108,3058,128050,165141,5450,4933,1459,330,81319,17394,8358,9036
Minnesota District 5,114,368,5.9426608,55396,63217,-26,-46.7999992,-54.7000008,8,441053,113020,6000,41223,156,1920,26618,842,25776,32080,2023,955,179,38,24770,3153,1674,1479,4432384,305403,51971,245360,1639,6977,131108,3058,128050,165141,5450,4933,1459,330,81319,17394,8358,9036
California District 49,357,1945,8.0948429,77558,63783,1,0.6,-7.4000001,53,447748,18570,2061,47380,2620,1410,20487,429,20058,128955,1057,1273,1033,48,46840,10286,5908,4378,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 5,603,4802,8.7017422,67273,63783,-21,-53.7999992,-44.5999985,53,366710,43955,3173,77509,3350,1838,28867,1072,27795,105795,2321,3732,1905,164,72544,13103,5895,7208,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 24,1184,21517,8.0716228,64676,63783,-7,-6.8000002,-19.8999996,53,402357,12871,2508,32586,884,465,17294,438,16856,170001,1584,3854,1342,195,70896,11098,5547,5551,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
Nebraska District 3,2416,175719,5.7635169,50034,54384,27,100,54.2000008,3,515082,6577,4323,4461,443,420,7722,146,7576,52602,452,703,98,80,11693,2030,980,1050,1511352,85911,12981,39508,1173,2123,36409,717,35692,144356,2477,2758,286,132,34549,7244,3754,3490
Nebraska District 2,196,1364,5.3069978,59906,54384,4,1.2,2.3,3,472699,61853,2184,19688,230,1341,15602,500,15102,51321,1228,931,132,47,14492,2140,977,1163,1511352,85911,12981,39508,1173,2123,36409,717,35692,144356,2477,2758,286,132,34549,7244,3754,3490
California District 29,119,240,7.681417,48293,63783,-29,-100,-60.9000015,53,132009,25633,1364,55013,656,1989,8337,456,7881,285268,2179,2619,1061,192,191855,9590,5385,4205,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 7,200,1435,5.2796369,66846,63783,-3,-2.4000001,-11.3000002,53,399352,53080,3321,109309,5602,1466,36992,2138,34854,75232,1885,1846,1670,238,29174,13787,6375,7412,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 6,171,464,7.9384756,49048,63783,-21,-50.7999992,-44,53,276514,88264,2668,112684,9686,4050,35997,1729,34268,113375,3201,2926,2074,169,67437,15405,6408,8997,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 39,179,533,7.7533507,80844,63783,0,14.3999996,-8.5,53,227797,15075,1439,216203,1526,1274,17364,628,16736,156950,856,1286,1716,232,68536,12603,6803,5800,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
Illinois District 14,565,4200,8.7181396,86449,59196,5,18.6000004,4,18,575066,22343,553,31185,221,496,10944,623,10321,61525,785,383,80,61,17719,4117,1897,2220,7996856,1810559,14378,650929,2994,18545,220949,11527,209422,1274051,27053,15021,4870,1192,735014,79273,48891,30382
Tennessee District 1,779,10935,7.4495163,39305,46574,28,63,56.7999992,9,652936,14936,1767,4982,106,123,11529,165,11364,15473,773,200,19,22,7042,1312,935,377,4879669,1092491,15063,104540,2955,7800,118146,3386,114760,217064,8086,3694,828,344,82265,15064,8732,6332
Tennessee District 3,1139,12209,10.3082199,43943,46574,18,37.5999985,35.0999985,9,593705,77115,1517,8809,183,448,11636,274,11362,20639,890,64,159,61,3498,1110,602,508,4879669,1092491,15063,104540,2955,7800,118146,3386,114760,217064,8086,3694,828,344,82265,15064,8732,6332
Tennessee District 5,378,3305,6.5751562,50317,46574,-7,-25.2000008,-18.1000004,9,450488,185947,2014,23274,448,1642,14871,463,14408,44362,905,185,25,29,20909,2289,1671,618,4879669,1092491,15063,104540,2955,7800,118146,3386,114760,217064,8086,3694,828,344,82265,15064,8732,6332
Tennessee District 4,1185,15742,9.444705,48420,46574,20,30,40.9000015,9,604044,61992,1683,11323,121,915,21956,477,21479,32824,776,935,121,28,7037,1881,983,898,4879669,1092491,15063,104540,2955,7800,118146,3386,114760,217064,8086,3694,828,344,82265,15064,8732,6332
California District 11,270,1370,7.2946334,78487,63783,-21,-44.2000008,-47.5999985,53,346910,60485,1595,99139,3453,2308,31267,690,30577,109361,1724,1440,1227,312,68124,12041,6446,5595,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
Oregon District 1,618,8558,6.680398,66106,53270,-9,-22.6000004,-21.8999996,5,583852,12273,3516,58336,2602,1013,30712,902,29810,70961,524,2283,587,246,33906,6659,3423,3236,3066467,70359,35074,158209,14245,4905,138202,2629,135573,321358,3653,10159,1946,691,119660,37339,14561,22778
Oregon District 3,388,2865,7.2488551,57649,53270,-24,-71.8000031,-46.7000008,5,583259,40530,4670,53775,4731,1834,33412,458,32954,57712,1252,2028,534,200,20068,7142,3049,4093,3066467,70359,35074,158209,14245,4905,138202,2629,135573,321358,3653,10159,1946,691,119660,37339,14561,22778
Oregon District 5,1121,14647,9.2625647,56481,53270,0,-10.5,-4.0999999,5,604258,7334,5997,20951,3846,556,24397,426,23971,78996,589,2323,306,125,32886,13321,4226,9095,3066467,70359,35074,158209,14245,4905,138202,2629,135573,321358,3653,10159,1946,691,119660,37339,14561,22778
Maine District 1,980,13246,8.5149813,57209,50826,-8,-16.1000004,-14.8000002,2,627120,10733,2092,9782,63,647,11747,182,11565,8164,313,316,87,0,1018,1055,251,804,1246606,15472,7523,14512,189,872,24977,321,24656,13870,831,490,131,22,2279,2149,520,1629
Maine District 2,1841,78388,6.5755033,44649,50826,2,9.6000004,10.3000002,2,619486,4739,5431,4730,126,225,13230,139,13091,5706,518,174,44,22,1261,1094,269,825,1246606,15472,7523,14512,189,872,24977,321,24656,13870,831,490,131,22,2279,2149,520,1629
Tennessee District 7,1149,24142,7.3949189,51936,46574,20,48.7000008,39,9,601661,72332,1986,13417,931,1016,15007,688,14319,26669,1639,327,202,41,5764,1799,950,849,4879669,1092491,15063,104540,2955,7800,118146,3386,114760,217064,8086,3694,828,344,82265,15064,8732,6332
Tennessee District 2,842,6292,10.6149445,48615,46574,20,51.2000008,35.2000008,9,627976,45497,1508,10863,300,1001,12260,471,11789,20498,497,549,11,35,4416,1271,497,774,4879669,1092491,15063,104540,2955,7800,118146,3386,114760,217064,8086,3694,828,344,82265,15064,8732,6332
Illinois District 5,185,250,11.7004271,74066,59196,-20,-40.2999992,-46,18,500013,19085,778,49627,100,795,15336,872,14464,95732,1629,1326,562,79,39430,7543,4900,2643,7996856,1810559,14378,650929,2994,18545,220949,11527,209422,1274051,27053,15021,4870,1192,735014,79273,48891,30382
Illinois District 16,1053,20687,7.3211551,56042,59196,8,99.9000015,16.7999992,18,590112,25885,773,10022,135,695,10990,391,10599,43305,780,330,52,43,14887,2925,1874,1051,7996856,1810559,14378,650929,2994,18545,220949,11527,209422,1274051,27053,15021,4870,1192,735014,79273,48891,30382
Illinois District 13,1008,15221,8.1703176,49031,59196,3,19.3999996,5.1999998,18,560453,79206,1213,26299,219,1370,17351,338,17013,16769,818,93,58,18,3540,2328,964,1364,7996856,1810559,14378,650929,2994,18545,220949,11527,209422,1274051,27053,15021,4870,1192,735014,79273,48891,30382
California District 50,637,7263,7.4744873,65656,63783,11,27,15,53,419811,18796,5405,39138,2639,1482,23795,540,23255,156137,1875,3036,1463,173,47367,14884,7420,7464,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 23,1280,25737,7.9786792,56167,63783,14,38.4000015,21.8999996,53,345364,44680,4556,36470,903,1302,18203,1352,16851,199064,2589,3395,1013,288,61537,10686,5822,4864,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 8,1958,85577,6.6932054,47171,63783,9,24.6000004,15.1000004,53,332529,55380,6146,21077,2387,1043,17958,796,17162,209000,3515,3975,551,112,49241,13254,7109,6145,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
Illinois District 17,1091,18296,8.0657854,45144,59196,-2,-20.6000004,0.8,18,532066,78473,1104,9575,129,822,14121,221,13900,40629,1571,503,109,49,14632,5017,2642,2375,7996856,1810559,14378,650929,2994,18545,220949,11527,209422,1274051,27053,15021,4870,1192,735014,79273,48891,30382
Illinois District 6,341,1009,10.7351665,93839,59196,2,18.3999996,-6.9000001,18,560015,17857,277,63434,123,687,11018,441,10577,50205,1192,810,281,30,14842,3830,2444,1386,7996856,1810559,14378,650929,2994,18545,220949,11527,209422,1274051,27053,15021,4870,1192,735014,79273,48891,30382
Illinois District 3,218,627,8.7060814,63055,59196,-6,-100,-15.5,18,423650,33853,354,28625,15,898,7430,575,6855,123468,669,1839,246,58,93579,7492,5510,1982,7996856,1810559,14378,650929,2994,18545,220949,11527,209422,1274051,27053,15021,4870,1192,735014,79273,48891,30382
Illinois District 10,243,809,8.5434246,74233,59196,-10,-5.1999998,-28.8999996,18,419105,46477,882,71282,254,1225,13800,748,13052,121614,1379,574,588,40,32098,4395,2373,2022,7996856,1810559,14378,650929,2994,18545,220949,11527,209422,1274051,27053,15021,4870,1192,735014,79273,48891,30382
Illinois District 4,178,137,15.2075663,46557,59196,-33,-100,-68.1999969,18,149334,27032,617,22653,213,1242,6721,353,6368,267400,3684,2913,565,162,210046,9740,6205,3535,7996856,1810559,14378,650929,2994,18545,220949,11527,209422,1274051,27053,15021,4870,1192,735014,79273,48891,30382
Georgia District 3,676,10151,6.7095327,53655,51037,18,36.5999985,31.5,14,474898,167958,1524,12757,205,1843,15208,300,14908,26676,1822,159,39,48,8265,2862,1629,1233,5466239,3105273,18256,371852,4354,26295,180061,8828,171233,573150,42861,10694,2131,562,255196,42396,24009,18387
Georgia District 10,928,18844,6.7602291,49040,51037,15,100,25.5,14,471044,181578,970,14914,337,927,11065,668,10397,27230,924,193,71,54,8631,3043,1750,1293,5466239,3105273,18256,371852,4354,26295,180061,8828,171233,573150,42861,10694,2131,562,255196,42396,24009,18387
Georgia District 4,247,1309,6.8269563,50048,51037,-24,-51.4000015,-53.0999985,14,184057,426671,859,36061,249,3031,12737,1240,11497,37897,5551,716,20,23,20221,2749,1267,1482,5466239,3105273,18256,371852,4354,26295,180061,8828,171233,573150,42861,10694,2131,562,255196,42396,24009,18387
Georgia District 5,154,691,5.8584361,45882,51037,-34,-68.8000031,-73.0999985,14,208600,427139,1746,31010,151,1932,14047,779,13268,29895,3795,1193,127,69,13568,2887,1567,1320,5466239,3105273,18256,371852,4354,26295,180061,8828,171233,573150,42861,10694,2131,562,255196,42396,24009,18387
Georgia District 13,381,1876,8.7964725,53136,51037,-20,-100,-44.4000015,14,201062,415371,540,19270,59,1722,13611,537,13074,40555,7152,143,179,55,26806,2934,1670,1264,5466239,3105273,18256,371852,4354,26295,180061,8828,171233,573150,42861,10694,2131,562,255196,42396,24009,18387
Georgia District 9,765,13910,6.4863124,47477,51037,31,100,58.5,14,558855,48914,1305,8869,160,1581,8295,235,8060,63825,719,1163,52,9,20728,2299,1269,1030,5466239,3105273,18256,371852,4354,26295,180061,8828,171233,573150,42861,10694,2131,562,255196,42396,24009,18387
